Code,Description,Type,Category,Supplier,On Hand,Demand,Min,On Order,Lead,Status,   Avg Cost   , Total ,
MFPY7103004,"MAXFLO 710/150/10 P c/w 3,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY7104004,"MAXFLO 710/150/10 P c/w 4,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY7105504,"MAXFLO 710/150/10 P c/w 5,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8000556,"MAXFLO 800/150/10 P c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8000756,"MAXFLO 800/150/10 P c/w 0,75KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8001104,"MAXFLO 800/150/10 P c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8001106,"MAXFLO 800/150/10 P c/w 1,10KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8001504,"MAXFLO 800/150/10 P c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8001506,"MAXFLO 800/150/10 P c/w 1,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8002204,"MAXFLO 800/150/10 P c/w 2,20KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8002206,"MAXFLO 800/150/10 P c/w 2,20KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8003004,"MAXFLO 800/150/10 P c/w 3,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8003006,"MAXFLO 800/150/10 P c/w 3,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8004004,"MAXFLO 800/150/10 P c/w 4,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8005504,"MAXFLO 800/150/10 P c/w 5,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPY8007504,"MAXFLO 800/150/10 P c/w 7,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ5600374,"MAXFLO 560/250/14 P c/w 0,37KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ5600554,"MAXFLO 560/250/14 P c/w 0,55KW 4P 380V",,FM - DONKIN,,0,,,0,,, R5 219.33 , R10 438.66 ,
MFPZ5600556,"MAXFLO 560/250/14 P c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ5600754,"MAXFLO 560/250/14 P c/w 0,75KW 4P 380V",,FM - DONKIN,,0,,,0,,, R5 355.45 ,   R                             -    ,
MFPZ5600756,"MAXFLO 560/250/14 P c/w 0,75KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ5601104,"MAXFLO 560/250/14 P c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,, R5 601.00 ,   R                             -    ,
MFPZ5601504,"MAXFLO 560/250/14 P c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ5602202,"MAXFLO 560/250/14 P c/w 2,20KW 2P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ5604002,"MAXFLO 560/250/14 P c/w 4,00KW 2P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ6300374,"MAXFLO 630/250/14 P c/w 0,37KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ6300554,"MAXFLO 630/250/14 P c/w 0,55KW 4P 380V",,FM - DONKIN,,0,,,0,,, R2 032.30 ,   R                             -    ,
MFPZ6300754,"MAXFLO 630/250/14 P c/w 0,75KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ6301104,"MAXFLO 630/250/14 P c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,, R2 032.30 ,   R                             -    ,
MFPZ6301504,"MAXFLO 630/250/14 P c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ6302204,"MAXFLO 630/250/14 P c/w 2,20KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ6303004,"MAXFLO 630/250/14 P c/w 3,00KW 4P 380V",,FM - DONKIN,,0,,,0,,, R6 348.78 ,   R                             -    ,
MFPZ6304002,"MAXFLO 630/250/14 P c/w 4,00KW 2P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ6304004,"MAXFLO 630/250/14 P c/w 4,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7100556,"MAXFLO 710/250/14 P c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7100754,"MAXFLO 710/250/14 P c/w 0,75KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7101104,"MAXFLO 710/250/14 P c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7101106,"MAXFLO 710/250/14 P c/w 1,10KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7101504,"MAXFLO 710/250/14 P c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,, R6 479.30 ,   R                             -    ,
MFPZ7101506,"MAXFLO 710/250/14 P c/w 1,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7102204,"MAXFLO 710/250/14 P c/w 2,20KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7103004,"MAXFLO 710/250/14 P c/w 3,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7104004,"MAXFLO 710/250/14 P c/w 4,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ7105504,"MAXFLO 710/250/14 P c/w 5,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8000556,"MAXFLO 800/250/14 P c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8000756,"MAXFLO 800/250/14 P c/w 0,75KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8001104,"MAXFLO 800/250/14 P c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8001106,"MAXFLO 800/250/14 P c/w 1,10KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8001504,"MAXFLO 800/250/14 P c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8001506,"MAXFLO 800/250/14 P c/w 1,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8002204,"MAXFLO 800/250/14 P c/w 2,20KW 4P 380V",,FM - DONKIN,,0,,,0,,, R8 203.00 ,   R                             -    ,
MFPZ8002206,"MAXFLO 800/250/14 P c/w 2,20KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8003004,"MAXFLO 800/250/14 P c/w 3,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8003006,"MAXFLO 800/250/14 P c/w 3,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8004004,"MAXFLO 800/250/14 P c/w 4,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8005504,"MAXFLO 800/250/14 P c/w 5,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MFPZ8007504,"MAXFLO 800/250/14 P c/w 7,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125011004,"MFAJAX-3 1250 c/w 11,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125011006,"MFAJAX-3 1250 c/w 11,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125011008,"MFAJAX-3 1250 c/w 11,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125015004,"MFAJAX-3 1250 c/w 15,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125015006,"MFAJAX-3 1250 c/w 15,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125015008,"MFAJAX-3 1250 c/w 15,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125018504,"MFAJAX-3 1250 c/w 18,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125018506,"MFAJAX-3 1250 c/w 18,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125018508,"MFAJAX-3 1250 c/w 18,50KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125022004,"MFAJAX-3 1250 c/w 22,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125022006,"MFAJAX-3 1250 c/w 22,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125022008,"MFAJAX-3 1250 c/w 22,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125030004,"MFAJAX-3 1250 c/w 30,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125030006,"MFAJAX-3 1250 c/w 30,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125030008,"MFAJAX-3 1250 c/w 30,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12503006,"MFAJAX-3 1250 c/w 3,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125037004,"MFAJAX-3 1250 c/w 37,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125037006,"MFAJAX-3 1250 c/w 37,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125037008,"MFAJAX-3 1250 c/w 37,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12504006,"MFAJAX-3 1250 c/w 4,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12504008,"MFAJAX-3 1250 c/w 4,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125045004,"MFAJAX-3 1250 c/w 45,00KW 4P 380V",,FM - DONKIN,,0,,,0,,, R61 563.24 ,   R                             -    ,
MH125045006,"MFAJAX-3 1250 c/w 45,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125055004,"MFAJAX-3 1250 c/w 55,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12505506,"MFAJAX-3 1250 c/w 5,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12505508,"MFAJAX-3 1250 c/w 5,50KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH125075004,"MFAJAX-3 1250 c/w 75,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12507506,"MFAJAX-3 1250 c/w 7,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MH12507508,"MFAJAX-3 1250 c/w 7,50KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
Mild Steel-200x200x1.6mm,Laser-Cut Mild Steel Plate 200x200x1.6mm,,,,0,,,0,,, R29.50 , R472.00 ,
Mild Steel-310x310x1.6mm,Laser-Cut Mild Steel Plate 310x310x1.6mm,,,,0,,,0,,, R61.45 , R122.90 ,
Mild Steel-620x620x1.6mm,Laser-Cut Mild Steel Plate 620x620x1.6mm,,,,0,,,0,,, R224.00 , R448.00 ,
MJ1500,Majax-1 470 Impeller,,,,0,,,0,,,   R                         -    ,   R                             -    ,
MP0400B150A05PR14071,Impeller 0400mm 'B' 150A05PR 14mm 071Frame Deg00 -10 DEG,,,,0,,,0,,,   R                         -    ,   R                             -    ,
MP0500B150A05AR24090,Impeller 0500mm 'B' 150A05AR 24mm 090Frame Deg00 - 14 DEG,,,,0,,,0,,, R1 314.00 ,   R                             -    ,
MP0630B150A10AR24090,Impeller 0630mm 'B' 150A10AR 24mm 090Frame Deg00 - 27 DEG,,,,0,,,0,,, R2 335.00 ,   R                             -    ,
MP0710B150A05PR24090,eller 0710mm 'B' 150A05PR 24mm 090Frame Deg00 - 21 DEG,,,,0,,,0,,,   R                         -    ,   R                             -    ,
MP0710B150A05PR240901,Impeller 0710mm 'B' 150A05PR 24mm 090Frame Deg00 - 23 DEG,,,,0,,,0,,,   R                         -    ,   R                             -    ,
MP0710B150A10AR28100,Impeller 0710mm 'B' 150A10AR 28mm 100Frame Deg00 - 35 DEG,,,,0,,,0,,, R2 335.00 ,   R                             -    ,
MR60Hz,Rewind motor to 60Hz incl. SATMOS Treatment,,,,0,,,0,,,   R                         -    ,   R                             -    ,
MRAD315,MRAD 315,,FM - KAYITES,,0,,,0,,,   R                         -    ,   R                             -    ,
MRB 250/0.75,c/w 4 kW 2 Pole 380 V (Direct Driven),,,,0,,,0,,,   R                         -    ,   R                             -    ,
MS3150552,"MAJAX-3 315 c/w 0,55KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS3150554,"MAJAX-3 315 c/w 0,55KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS3150556,"MAJAX-3 315 c/w 0,55KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4000186,"MAJAX-3 400 c/w 0,18KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4000254,"MAJAX-3 400 c/w 0,25KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4000374,"MAJAX-3 400 c/w 0,37KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4000552,"MAJAX-3 400 c/w 0,55KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4000754,"MAJAX-3 400 c/w 0,75KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4001102,"MAJAX-3 400 c/w 1,10KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4001502,"MAJAX-3 400 c/w 1,50KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS4002202,"MAJAX-3 400 c/w 2,20KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000186,"MAJAX-3 500 c/w 0,18KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000254,"MAJAX-3 500 c/w 0,25KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000374,"MAJAX-3 500 c/w 0,37KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000554,"MAJAX-3 500 c/w 0,55KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000556,"MAJAX-3 500 c/w 0,55KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000752,"MAJAX-3 500 c/w 0,75KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5000754,"MAJAX-3 500 c/w 0,75KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5001102,"MAJAX-3 500 c/w 1,10KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5001104,"MAJAX-3 500 c/w 1,10KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5001502,"MAJAX-3 500 c/w 1,50KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5001504,"MAJAX-3 500 c/w 1,50KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5002202,"MAJAX-3 500 c/w 2,20KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5600186,"MAJAX-3 560 c/w 0,18KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5600374,"MAJAX-3 560 c/w 0,37KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5600554,"MAJAX-3 560 c/w 0,55KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5600556,"MAJAX-3 560 c/w 0,55KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5600754,"MAJAX-3 560 c/w 0,75KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5601102,"MAJAX-3 560 c/w 1,10KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5601104,"MAJAX-3 560 c/w 1,10KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5601502,"MAJAX-3 560 c/w 1,50KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5601504,"MAJAX-3 560 c/w 1,50KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5602202,"MAJAX-3 560 c/w 2,20KW 2P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS5605502,"MAJAX-3 560 c/w 5,50KW 2P 220V",,FM - DONKIN,,0,,,0,,, R10 432.26 ,   R                             -    ,
MS6300186,"MAJAX-3 630 c/w 0,18KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6300374,"MAJAX-3 630 c/w 0,37KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6300554,"MAJAX-3 630 c/w 0,55KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6300556,"MAJAX-3 630 c/w 0,55KW 6P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6300754,"MAJAX-3 630 c/w 0,75KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6301104,"MAJAX-3 630 c/w 1,10KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6301504,"MAJAX-3 630 c/w 1,50KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MS6302204,"MAJAX-3 630 c/w 2,20KW 4P 220V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT100011004,"MAJAX-3 1000 c/w 11,00KW 4P 380V",,FM - DONKIN,,0,,,0,,, R3 940.50 ,   R                             -    ,
MT100011006,"MAJAX-3 1000 c/w 11,00KW 6P 380V",,FM - DONKIN,,0,,,0,,, R3 940.50 , R3 940.50 ,
MT10001106,"MAJAX-3 1000 c/w 1,10KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT100015004,"MAJAX-3 1000 c/w 15,00KW 4P 380V",,FM - DONKIN,,0,,,0,,, R3 940.50 , R11 821.50 ,
MT10001506,"MAJAX-3 1000 c/w 1,50KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT100018504,"MAJAX-3 1000 c/w 18,50KW 4P 380V",,FM - DONKIN,,0,,,0,,, R49 784.83 ,   R                             -    ,
MT100022004,"MAJAX-3 1000 c/w 22,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10002206,"MAJAX-3 1000 c/w 2,20KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT100030004,"MAJAX-3 1000 c/w 30,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10003004,"MAJAX-3 1000 c/w 3,00KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10003006,"MAJAX-3 1000 c/w 3,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10004004,"MAJAX-3 1000 c/w 4,00KW 4P 380V",,FM - DONKIN,,0,,,0,,, R9 552.19 ,   R                             -    ,
MT10004006,"MAJAX-3 1000 c/w 4,00KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10004008,"MAJAX-3 1000 c/w 4,00KW 8P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10005504,"MAJAX-3 1000 c/w 5,50KW 4P 380V",,FM - DONKIN,,0,,,0,,, R13 279.03 ,   R                             -    ,
MT10005506,"MAJAX-3 1000 c/w 5,50KW 6P 380V",,FM - DONKIN,,0,,,0,,, R16 136.44 ,   R                             -    ,
MT10007504,"MAJAX-3 1000 c/w 7,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT10007506,"MAJAX-3 1000 c/w 7,50KW 6P 380V",,FM - DONKIN,,0,,,0,,, R26 555.00 ,   R                             -    ,
MT160037006,"MAJAX-3 1600 c/w 37,00KW 6P 380V",,,,0,,,0,,,   R                         -    ,   R                             -    ,
MT3150186,"MAJAX-3 315 c/w 0,18KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT3150254,"MAJAX-3 315 c/w 0,25KW 4P 380V",,FM - DONKIN,,0,,,0,,, R4 018.68 ,   R                             -    ,
MT3150552,"MAJAX-3 315 c/w 0,55KW 2P 380V",,FM - DONKIN,,0,,,0,,, R4 018.68 ,   R                             -    ,
MT3150556,"MAJAX-3 315 c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT4000186,"MAJAX-3 400 c/w 0,18KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT4000254,"MAJAX-3 400 c/w 0,25KW 4P 380V",,FM - DONKIN,,0,,,0,,, R4 808.70 ,   R                             -    ,
MT4000374,"MAJAX-3 400 c/w 0,37KW 4P 380V",,FM - DONKIN,,0,,,0,,, R3 174.33 , R6 348.66 ,
MT4000552,"MAJAX-3 400 c/w 0,55KW 2P 380V",,FM - DONKIN,,0,,,0,,, R4 676.31 ,   R                             -    ,
MT4001102,"MAJAX-3 400 c/w 1,10KW 2P 380V",,FM - DONKIN,,0,,,0,,, R3 834.39 ,   R                             -    ,
MT4001502,"MAJAX-3 400 c/w 1,50KW 2P 380V",,FM - DONKIN,,0,,,0,,, R5 108.35 ,   R                             -    ,
MT4002202,"MAJAX-3 400 c/w 2,20KW 2P 380V",,FM - DONKIN,,0,,,0,,, R5 580.89 ,   R                             -    ,
MT5000186,"MAJAX-3 500 c/w 0,18KW 6P 380V",,FM - DONKIN,,0,,,0,,, R2 180.00 , R2 180.00 ,
MT5000254,"MAJAX-3 500 c/w 0,25KW 4P 380V",,FM - DONKIN,,0,,,0,,, R10 392.00 ,   R                             -    ,
MT5000374,"MAJAX-3 500 c/w 0,37KW 4P 380V",,FM - DONKIN,,0,,,0,,, R4 963.50 ,   R                             -    ,
MT5000554,"MAJAX-3 500 c/w 0,55KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5000556,"MAJAX-3 500 c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,, R6 221.34 ,   R                             -    ,
MT5000754,"MAJAX-3 500 c/w 0,75KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5001102,"MAJAX-3 500 c/w 1,10KW 2P 380V",,FM - DONKIN,,0,,,0,,, R11 773.24 ,   R                             -    ,
MT5001104,"MAJAX-3 500 c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5001502,"MAJAX-3 500 c/w 1,50KW 2P 380V",,FM - DONKIN,,0,,,0,,, R10 969.00 ,   R                             -    ,
MT5001504,"MAJAX-3 500 c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5002202,"MAJAX-3 500 c/w 2,20KW 2P 380V",,FM - DONKIN,,0,,,0,,, R10 607.34 ,   R                             -    ,
MT5004002,"MAJAX-3 500 c/w 4,00KW 2P 380V",,FM - DONKIN,,0,,,0,,, R7 366.00 ,   R                             -    ,
MT5600186,"MAJAX-3 560 c/w 0,18KW 6P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5600374,"MAJAX-3 560 c/w 0,37KW 4P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5600554,"MAJAX-3 560 c/w 0,55KW 4P 380V",,FM - DONKIN,,0,,,0,,, R6 057.42 ,   R                             -    ,
MT5600556,"MAJAX-3 560 c/w 0,55KW 6P 380V",,FM - DONKIN,,0,,,0,,, R518.94 , R518.94 ,
MT5600754,"MAJAX-3 560 c/w 0,75KW 4P 380V",,FM - DONKIN,,0,,,0,,, R5 649.00 ,   R                             -    ,
MT5601102,"MAJAX-3 560 c/w 1,10KW 2P 380V",,FM - DONKIN,,0,,,0,,,   R                         -    ,   R                             -    ,
MT5601104,"MAJAX-3 560 c/w 1,10KW 4P 380V",,FM - DONKIN,,0,,,0,,, R6 230.54 , R6 230.54 ,
MT5601502,"MAJAX-3 560 c/w 1,50KW 2P 380V",,FM - DONKIN,,0,,,0,,, R6 395.00 , R6 395.00 ,
MT5601504,"MAJAX-3 560 c/w 1,50KW 4P 380V",,FM - DONKIN,,0,,,0,,, R7 194.67 ,   R                             -    ,
MT5602202,"MAJAX-3 560 c/w 2,20KW 2P 380V",,FM - DONKIN,,0,,,0,,, R7 167.96 ,   R                             -    ,
MT5604002,"MAJAX-3 560 c/w 4,00KW 2P 380V",,FM - DONKIN,,0,,,0,,, R7 876.05 , R15 752.10 ,
